chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc2,mfcc18,label,id,time
0.280947953,0.045050863,1732.261218,1698.774444,2990.178888,0.096757369,118.0618134,-4.495993614,1,0,0
0.400338918,0.029854329,2132.121534,1833.498202,3652.080189,0.140536222,106.7142563,-4.859400272,1,0,1
0.444722533,0.03753949,1835.452555,1563.019176,3069.949618,0.108742454,112.7228241,-3.434850454,1,0,2
0.508158267,0.055099927,1787.064816,1466.951393,2937.814054,0.109042081,112.5798798,-0.870164454,1,0,3
0.49560979,0.046062157,1710.402246,1501.659471,2717.832808,0.102971857,119.2826462,1.809186101,1,0,4
0.452765912,0.043444123,1627.408473,1713.276797,2854.128196,0.089233398,130.4666901,-4.448869705,1,0,5
0.26865381,0.070370406,1428.836499,1547.495628,2393.366588,0.069924094,138.5488281,0.111707903,1,0,6
0.339962214,0.053568408,1886.550284,1810.828259,3214.564653,0.097589666,110.8693161,-1.117808342,1,0,7
0.386824161,0.04274185,2199.242425,1851.014737,3564.479204,0.148504084,106.1750565,-1.493573785,1,0,8
0.476192981,0.056579992,1845.874553,1497.219482,3000.700795,0.112537731,109.1242752,6.734478951,1,0,9
0.520437121,0.061574139,1877.947435,1557.349516,3114.973588,0.120339134,106.1078796,2.535215616,1,0,10
0.520437121,0.061574139,1877.947435,1557.349516,3114.973588,0.120339134,106.1078796,2.535215616,1,0,0
0.552235544,0.045397706,1874.858355,1604.348575,3062.608754,0.117753462,110.2124557,4.968011379,1,0,1
0.359336764,0.061741434,2144.133173,1904.425302,3659.421054,0.128151634,99.72016144,-1.384269118,1,0,2
0.346342236,0.034574281,1918.468702,1786.762186,3206.245006,0.123413086,117.933342,-3.320740461,1,0,3
0.314141899,0.054553594,1933.826031,1841.374721,3306.325462,0.112881747,108.3575516,-8.331809044,1,0,4
0.300802171,0.064220138,1469.806906,1535.847821,2216.451749,0.082896839,146.6200867,-0.212949231,1,0,5
0.276122421,0.044698238,1627.38608,1558.952795,2557.801958,0.100641424,133.7977448,5.029743671,1,0,6
0.353315622,0.050435077,1989.922536,1840.077574,3457.547275,0.113259055,112.6491928,1.172547936,1,0,7
0.277243465,0.073939271,1657.683518,1781.668206,2878.108354,0.077292702,121.4436035,-6.902822495,1,0,8
0.325248331,0.058332767,1523.551273,1781.486958,2672.808838,0.068559126,136.5460052,-2.693884611,1,0,9
0.306347102,0.04966284,1532.809669,1610.082829,2455.519243,0.088467685,140.7972107,-2.257688999,1,0,10
0.306347102,0.04966284,1532.809669,1610.082829,2455.519243,0.088467685,140.7972107,-2.257688999,1,0,0
0.364960939,0.019974509,1709.538217,1705.726917,2860.000888,0.095758612,125.8563995,-0.642632127,1,0,1
0.40452528,0.014700238,1886.607687,1931.720222,3236.831942,0.10365989,120.4533234,-0.829666376,1,0,2
0.26638034,0.056360319,1638.643594,1891.571693,3008.041659,0.061246005,116.7136154,-0.157046571,1,0,3
0.295872778,0.027694104,1781.82149,1581.392614,2890.587824,0.116066673,127.5100098,-2.522245884,1,0,4
0.281723976,0.067549206,1599.067504,1661.71363,2556.089089,0.092096502,128.3854828,-0.177014679,1,0,5
0.308830291,0.055982329,1557.086154,1803.032999,2622.156871,0.071222479,128.6447906,0.734280825,1,0,6
0.368180424,0.021771735,1732.069153,1597.906195,2886.428001,0.106478604,130.1187439,-5.116643429,1,0,7
0.404236525,0.028586926,1668.049637,1612.973701,2761.877996,0.093650124,130.5513458,2.749195576,1,0,8
0.274149269,0.069910638,1602.573941,1709.760146,2624.359131,0.082486239,128.6841888,-5.132777691,1,0,9
0.290353447,0.066204533,2164.021679,1985.108903,3664.314964,0.109175249,94.52825165,-7.502752781,1,0,10
0.290353447,0.066204533,2164.021679,1985.108903,3664.314964,0.109175249,94.52825165,-7.502752781,1,0,0
0.390622586,0.051839743,1900.269759,1770.210194,3098.823686,0.108121005,125.7587967,-1.964331746,1,0,1
0.393293291,0.045627948,1674.200865,1626.882732,2737.408447,0.09428267,133.0903778,-2.761994839,1,0,2
0.38283965,0.043651793,1855.493313,1608.38501,3108.36681,0.11007413,112.3085632,1.133632302,1,0,3
0.440148681,0.032077432,1789.49655,1654.740401,2996.296276,0.10349343,120.3205109,-1.515148044,1,0,4
0.254128397,0.040750429,1964.253381,1865.321796,3391.968883,0.106323242,112.1824875,-4.712150097,1,0,5
0.371643215,0.009030409,1786.609418,1750.275372,3057.470148,0.109485973,128.938446,-4.238671303,1,0,6
0.407085627,0.04667522,1818.761467,1867.379283,3256.407582,0.087102717,115.004509,-7.199159622,1,0,7
0.325336218,0.061946213,2190.061496,1946.113751,3654.771839,0.124556108,92.70612335,-6.504707813,1,0,8
0.329327524,0.011813307,1508.479527,1562.220531,2428.358043,0.092950994,148.7745972,-3.937797308,1,0,9
0.414907187,0.017816899,1828.745895,1632.653638,3057.470148,0.112548828,122.3453598,-1.944928408,1,0,10
0.414907187,0.017816899,1828.745895,1632.653638,3057.470148,0.112548828,122.3453598,-1.944928408,1,0,0
0.282111704,0.06070267,1621.615088,1554.055867,2635.125732,0.086048473,124.006691,-8.266122818,1,0,1
0.313586563,0.064879507,1947.911344,1884.925413,3310.240589,0.104414506,106.9680099,-11.38089275,1,0,2
0.411351055,0.022489725,1553.160035,1523.142157,2556.823176,0.09083141,146.6985779,-7.199154854,1,0,3
0.356841534,0.041193847,1929.929472,1785.307802,3166.849032,0.109308416,116.2137756,-9.063051224,1,0,4
